"Ω√¡°",¿ÃªÍ»≠≈∫º“ (ppm),∏ﬁ≈∫ (ppb),æ∆ªÍ»≠¡˙º“ (ppb),ø∞»≠∫“»≠≈∫º“11 (ppt),ø∞»≠∫“»≠≈∫º“12 (ppt),ø∞»≠∫“»≠≈∫º“113 (ppt),¿∞∫“»≠»≤ (ppt)
"2018. 01",416.8,1983.0,332.3,227.5,503.3,70.0,9.7
"2018. 02",418.0,1981.0,332.1,227.4,503.4,70.1,9.7
"2018. 03",419.1,1983.0,333.2,228.1,504.3,70.3,9.7
"2018. 04",419.7,1969.0,333.2,229.5,505.2,70.4,9.8
"2018. 05",417.7,1972.0,333.1,230.4,505.0,70.5,9.8
"2018. 06",414.1,1964.0,333.4,230.7,504.9,70.5,9.9
"2018. 07",410.2,1948.0,333.1,228.3,504.0,70.2,9.7
"2018. 08",407.0,1951.0,333.0,228.1,503.6,70.2,9.8
"2018. 09",408.9,1981.0,332.6,228.0,500.0,69.7,9.8
"2018. 10",414.2,1981.0,332.7,228.4,499.9,69.7,9.8
"2018. 11",417.7,1988.0,333.3,228.2,500.5,69.9,9.9
"2018. 12",418.4,1989.0,333.0,224.6,-,69.5,9.9
"2019. 01",419.0,1998.0,332.5,231.3,-,71.0,10.1
"2019. 02",420.0,2002.0,333.2,231.8,-,70.9,10.1
"2019. 03",421.1,1989.0,333.3,231.8,-,70.9,10.1
"2019. 04",422.0,1970.0,333.5,232.2,-,70.7,10.2
"2019. 05",420.5,1984.0,334.3,229.4,499.1,69.5,10.4
"2019. 06",416.8,1993.0,334.8,229.5,497.6,69.2,10.5
"2019. 07",413.6,1958.0,334.5,226.0,496.3,68.8,10.3
"2019. 08",411.8,1979.0,334.2,225.7,496.1,68.8,10.3
"2019. 09",412.8,2011.0,334.4,226.8,498.6,69.4,10.3
"2019. 10",416.2,1998.0,334.3,227.0,498.3,69.3,10.4
"2019. 11",419.3,1998.0,333.8,227.2,498.4,68.3,10.3
"2019. 12",421.2,2013.0,333.9,227.0,498.7,68.2,10.4
