"시점","항목",총액,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,음료 및 담배,음료 및 담배,음료 및 담배,비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,동식물성 유지 및 왁스,동식물성 유지 및 왁스,동식물성 유지 및 왁스,동식물성 유지 및 왁스,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물
"시점","항목",소계,소계,중분류 03의 동물을 제외한 산 동물,고기 및 고기조제품,낙농품 및 새알,물고기갑각류 연체동물 및 수생무척추동물,곡식 및 곡식가공품,채소 및 과실,설탕설탕조제품 및 벌꿀,커피차코코아향신료 및 동제품,동물사료,기타 식용제품 및 조제품,소계,음료,담배 및 담배제품,소계,원피 및 모피,기름용씨 및 기름함유 열매,생고무(합성 및 재생고무 포함),콜크 및 나무,펄프 및 폐지,섬유 및 그 웨이스트,미가공 비료 및 미가공 광물,금속성 광석 및 금속 부스러기,달리 명시되지 않은 미가공 동식물성 물질,소계,석탄코크 및 연탄,석유석유제품 및 관련물질,천연가스 및 제조가스,전력,소계,동물성 유지,불휘발성 식물성기름조유정제 또는 분획된 것,달리 분류되지 않은 동식물성유지 처리한 것,소계,유기화학물,무기화학물,염료유연제 및 착색제,의약품 및 약제제품,정유 및 향료,비료,플라스틱(원료형태의 것),원료형태가 아닌 플라스틱,달리 명시되지 않은 화학물질 및 제품,소계,가죽제품 및 손질모피,달리 명시되지 않은 고무제품,코크 및 나무제품,종이판지 및 펄프,섬유사직물직물제품,달리 명시되지 않은  비금속광물,철 및 강,비철금속,달리 명시되지 않은 금속제품,소계,원동기기 및 설비,특수산업용 기계,금속공작용 기계,산업용 일반기계 및 장비,사무용 기계 및 자동자료 처리장치,통신 및 녹음기기, 전기기계장치와 기기,도로 주행 차량,기타 수송장비,소계,조립식건축물 달리 명시되지 않은 위생연관 및 부착물,가구 및 부분품;침대에트리스쿠션,여행용 핸드백 및 유사용기,의복제품 및 의복부속품,신발,달리 명시되지 않은 전문과학통제기구 및 장치,달리 명시되지 않은 사진장치 및 광학용품 휴대시계 및 큰시계,달리 분류되지 않은 잡제품,소계,종류에 따라 분류 할 수 없는 특수취급물,주화(금화 및 법화 제외),금(금광 및 그정광 제외),달리 분류되지 않은 상품 및 취급물
"2018. 01","수출액 (천달러)",49221291,488349,353,5090,8326,153217,43635,67725,26733,21948,15625,145698,133002,64154,68848,530118,628,48,249862,1345,6594,161075,24320,55625,30622,3782160,582,3735377,46201,-,5720,172,3493,2055,6579931,2049553,455715,209121,252283,523428,25983,2082303,569541,412004,6119165,45932,438442,5305,254667,835647,268730,2345222,985649,939572,28240681,686748,2104804,270584,1701729,1452595,2139141,12530495,4798372,2556214,3290074,49546,82635,22242,163618,42375,1825088,483128,621442,52089,-,13,38861,13215
"2018. 01","수입액 (천달러)",45805322,2495476,2802,543172,91372,565554,390672,334610,96276,127647,178569,164804,138191,81180,57011,2838582,27116,71551,90541,191105,187196,76783,83805,2042370,68115,11844908,1431038,8194309,2219561,-,111332,3404,100638,7290,4519230,1207169,666654,223746,606682,225348,52804,473341,302541,760945,4396707,31548,122643,136522,197998,457902,444918,1241949,1095174,668052,14778989,661138,2544440,137074,1313538,1463753,1771119,5302754,1378273,206900,4571614,68585,216170,244867,885569,325697,1478764,475541,876423,110292,-,288,107050,2955
"2018. 02","수출액 (천달러)",44523530,394531,124,3870,7042,111647,37327,57133,20004,15965,14157,127263,130312,58851,71461,521969,394,69,235238,1750,6733,144735,21717,81171,30163,3450592,5606,3412374,32612,-,4056,2,2609,1446,6154968,2104139,402905,176471,200593,437537,33937,1894847,505996,398545,5540997,30052,346656,4230,231446,700243,232236,2283653,884186,828294,25493339,701395,1755413,242892,1546835,1377231,1683624,11373752,4242630,2569569,2781566,53202,83852,12912,125469,32705,1469216,410057,594152,51199,-,12,40529,10658
"2018. 02","수입액 (천달러)",41722154,1971637,3095,379591,77687,400801,349563,278866,75478,87250,175965,143341,111315,62626,48689,2372399,21592,48609,86527,150111,149976,63131,78348,1709570,64535,12118285,1266350,8143478,2708458,-,85454,5014,73347,7093,4143513,1147646,674988,203869,445212,199610,48053,406818,284840,732476,3873415,27475,105887,116810,167489,388271,377272,1207453,896239,586519,13088884,632865,2449268,132052,1183181,1073042,1216803,4710595,1195815,495263,3886988,60590,194287,192471,757586,275613,1327696,387970,690775,70263,-,200,68980,1083
"2018. 03","수출액 (천달러)",51309932,482846,188,5023,8668,138010,39267,66956,32231,25179,15049,152275,171634,74571,97063,586301,589,32,251898,1938,6407,162041,22257,90057,51082,3162531,35,3130720,31775,-,5018,439,3056,1522,6809423,2007285,454071,219266,354545,676276,28089,2014051,585217,470622,6166803,54809,409958,5361,287895,870753,277130,2381137,956614,923147,30463349,754316,2547189,326356,1860250,1532327,2178106,13724847,5407912,2132047,3419543,54717,97902,17226,173594,39691,1787132,467813,781469,42483,-,7,33539,8937
"2018. 03","수입액 (천달러)",44897838,2311750,5564,452331,94444,459986,315655,422972,101766,92760,197019,169253,129694,83549,46145,2539530,47554,56031,94961,159698,201715,81213,79598,1735114,83646,10936813,1496123,7056004,2384686,-,114157,5850,100461,7846,4718465,1189755,706748,232265,643804,236984,77420,478739,323448,829301,4412927,32153,126794,127552,190783,455853,408961,1385740,1073208,611881,15380051,724345,2622844,193595,1303053,1205795,1438120,5520665,1750189,621445,4271322,48174,188861,198517,784809,289927,1568301,432813,759920,83130,3,527,81768,831
"2018. 04","수출액 (천달러)",49850235,471013,411,5940,10093,136704,35732,55804,31363,21786,15547,157633,152765,77950,74815,615658,200,57,262194,1914,9154,164548,22665,101673,53251,4077263,32,4044112,33119,-,5213,895,2851,1467,6823323,1998092,537498,207906,326600,649400,31788,2042575,556378,473085,6389615,52458,441599,5815,275817,873959,271378,2457912,1008472,1002205,27888384,784038,2202237,316553,1712701,1394504,1808347,12352828,5276631,2040545,3359763,54193,100719,21759,178834,40504,1743092,458169,762492,67238,-,20,54848,12370
"2018. 04","수입액 (천달러)",43693963,2312142,5207,420524,81090,505484,326593,415175,88357,99780,205837,164094,129876,80737,49139,2615704,39324,59424,86899,175865,172141,73871,77240,1853916,77024,10854252,1550927,7419370,1883956,-,116807,6121,103107,7579,4608955,1154834,753836,248528,620533,229537,33813,487531,322086,758257,4443151,36912,124087,132178,188713,488120,455087,1289305,1061319,667430,14001697,635220,2455234,159071,1395111,1077582,1319836,5271494,1411015,277132,4541257,66656,227509,202891,788187,287293,1629031,421066,918624,70122,-,165,69230,727
"2018. 05","수출액 (천달러)",50687750,496231,148,6002,10631,144362,56247,51636,32316,18447,17961,158483,179945,77070,102875,623104,608,174,274212,1745,9963,173137,24618,82469,56178,4079626,46,4036089,43491,-,4939,506,2441,1991,7050316,2095905,465722,207491,350984,661587,32263,2154472,599221,482671,6456578,45469,428036,6895,287261,889225,272074,2487606,1068085,971927,28360788,841999,2223965,318734,1824904,1610798,2174117,13139427,5292241,934603,3385311,66190,101693,23615,192321,40126,1710076,459695,791593,50910,-,26,39380,11504
