store,Latitude,Longitude
삼조커피,37.5323584,126.7376903
커피마마,37.5473664,126.7339596
카페글린(작전점),37.527708,126.737298
오아시스,37.5278354,126.7245167
셀렉토 커피,37.5272663,126.7221291
빅몬스터 커피,37.4925248,126.7311081
시월카페,37.5436087,126.7262063
플래너스 커피,37.5386619,126.73599
Cafe 1902,37.5381236,126.7358831
마이 메이드,37.5245859,126.7260709
제이메이드 커피,37.5438842,126.7225781
MEIKA,37.4924937,126.7200114
오늘우리여기,37.4944716,126.7236308
위대한카페,37.4929538,126.7204887
스프링필드,37.4948791,126.7215528
5이스테지아,37.4948328,126.7226019
헤세드 스페셜티커피,37.4939604,126.7246053
카페 아르몽,37.4971078,126.7212604
커피그레이스,37.4978456,126.7192462
AD FONTES,37.494853,126.7213836
카페 다시봄,37.5077298,126.7307919
아크커피,37.507597,126.7261592
카페 마리,37.489669,126.7257063
커피에반하다 부평북부역점,37.4908945,126.7250554
단아한베짱이,37.4918595,126.7209715
스웨이하우스,37.5206825,126.7213145
카페달곰,37.5003242,126.7206492
요거프레소부개점,37.5039952,126.7389643
COFFEEHUTCH,37.5071593,126.7325353
프레빈,37.4973165,126.7364129
투쓰리커피 인천부평동점,37.5016904,126.7311396
커피마마 부평부흥점,37.5017033,126.7227206
카페431,37.5037802,126.7197862
커피앤제이,37.4872501,126.7233844
메테오커피로스터스,37.5075628,126.7271652
임계동커피집,37.5028364,126.7203294
카페 멜로우,37.5047709,126.7388786
별꽃다방,37.5068153,126.7201871
커피마마 부평구청우리집,37.506072,126.721819
카페 와안,37.385696,126.6431312
웨일즈빈,37.36628,126.6492425
아멜라떼 인천송도점,37.396163,126.647898
카페 노노지,37.5346514,126.7221837
더앨리스 카페,37.395298,126.650316
카페 스크랩,37.3910848,126.6480396
카페 봉,37.3932637,126.6401006
Coffee Reborn,37.3935876,126.6431464
커피아미가,37.399307,126.6492686
미스터커피,37.3910848,126.6458509
카페몽,37.3793471,126.6438124
카페 헬레나,37.3788896,126.6439042
더빈,37.3784696,126.6605241
커피베이송도점,37.3955295,126.6378432
카페드림 G타워점,37.3961117,126.6321385
기노스코,37.3956342,126.6315563
카페라비타(CAFFELAVITA),37.3973377,126.6485055
Cafe 801,37.3975274,126.6582146
삼촌커피,37.3955295,126.6378432
미스터얼리,37.4118767,126.6789351
이커피,37.421367,126.6738186
커피담다,37.417625,126.6918695
부자커피,37.4235541,126.695179
탐나는커피,37.4498151,126.7316977
인스커피,37.4081441,126.6693051
카페더스토리 인하대점,37.4509955,126.6585136
갈라파고스,37.4586581,126.6759351
커피홀 인하대점,37.4505858,126.6593265
파스쿠찌주안점,37.4626322,126.6805299
마음여행자북카페,37.4574697,126.6597429
카페정하다,37.4677742,126.6550043
이디야 인천시민공원점,37.4602797,126.679871
더블샷,37.4645337,126.6794839
키작은커피나무,37.4510269,126.6577014
엘리엘리심리카페,37.4723222,126.6615722
카페안단테에스프레시보,37.4611114,126.6835092
카페 엔크리스토(Cafe Enchristo),37.4604541,126.6814801
Ediya,37.4519133,126.6523142
메가커피 주안역점(mega coffee),37.4639267,126.6798393
커피인바리스타,37.4641261,126.673003
팔공티 인하대점,37.451708,126.6551863
커피베이 에덴마트도화점,37.4685961,126.6634944
프랑세즈단팥빵,37.3973377,126.6506942
서니구락부,37.4731597,126.6213194
롬버스 커피,37.4525026,126.6554666
셀렉토커피 인천운서점,37.483553,126.5083643
스타벅스 영종하늘도시점,37.4896452,126.561525
카페띠아모 경동점,37.4722374,126.6297149
빽다방 인천신포시장점,37.4717016,126.6260965
이디야커피 동인천역점,37.4737116,126.6297223
카페 마담티,37.4759147,126.626179
싸리재,37.4720306,126.6302856
풍경이 있는 커피,37.4554514,126.602614
팟알,37.4738319,126.6205503
이디야 인천운서점,37.4846517,126.507434
카페베네동인천역점,37.4741919,126.6301207
카페꼰띠고인천차이나타운점,37.4742989,126.6181935
투썸플레이스 동인천역점,37.4747411,126.6305482
커피에반하다,37.4734613,126.6186526
SOHO 63,37.4740509,126.6249399
브라운핸즈 개항로점,37.4719083,126.6307797
커피필드로스터리바,37.4706904,126.664976
할리스커피,37.4866627,126.5569421
리얼카페 호다의 방,37.4510643,126.6580601
카페열시오분,37.4644709,126.6756511
메가커피도화점,37.4671509,126.6612125
낮잠다방BYSIESTACOFFEE,37.4507039,126.6630698
북해도스위트QUICK코리아,37.4602212,126.6766378
착한커피,37.4642229,126.6798082
이디야,37.4665408,126.62629
카페지브라운,37.4727904,126.658307
카페별달,37.4676448,126.669146
빽다방월미도점,37.4747543,126.5995501
카페 디어문,37.472872,126.6590664
권장커피,37.4622904,126.6793541
조아나의 커피,37.4588443,126.6772875
카페네이션스,37.4672952,126.6734489
이디야(주),37.4716879,126.6600846
메가커피 신포점,37.4718516,126.6261081
빽다방동인천역점,37.4751267,126.6305469
안단테콘모도,37.4504577,126.6579211
카페엔느,37.4555316,126.5995686
엔제리너스 인천월미점,37.4720986,126.5962455
커피베이웰가점,37.4635881,126.6855133
CU 인하대점,37.4497379,126.6613648
씨유(CU)도화중앙,37.4607277,126.6757849
BC800 COFFEE,37.4095415,126.6929107
자미궁,37.5957959,126.6943906
하삼동커피 청라시티타워점,37.5320516,126.6302931
나우커피,37.4047874,126.6851285
메가커피학익신동아점,37.4391868,126.6750584
실버카페 리본(연희점),37.5449614,126.6202052
실버카페 리본(검단점),37.6020407,126.6592554
실버카페 리본(청라점),37.5322829,126.6537116
컴포즈커피 인천모두병원점,37.4535691,126.7175025
달달충전소,37.3953725,126.7075567
카페911,37.5064108,126.7051038
커피에반하다,37.5032512,126.7373083
이랜드커피로스팅팩토리,37.5190298,126.7160319
훈커피,37.5082468,126.7351365
프론트도어,37.4621524,126.6523896
