"품목별(1)",품목별(2),품목별(3),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04
"품목별(1)",품목별(2),품목별(3),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"총액",소계,소계,43109348,42711669,40913407,36986961,46167486,41794358,36270123,37927239,34853427,34649645,39216882,35787080,42786304,38840753,39487034,35800897,47857785,39391098,44877320,39085895,45839703,39935508,51409911,44637611,48013321,44272149,44705704,42204145,53729070,49621236,51221951,50788004
"식품 및 산동물",소계,소계,464286,2627377,468134,2005305,545322,2262289,545871,2303941,460918,2379560,535387,2300942,543164,2412969,488810,2064710,550167,2335981,554967,2254411,611039,2212350,652395,2393520,530542,2656767,489266,2107705,658962,2790799,639825,2689647
"식품 및 산동물",중분류 03의 동물을 제외한 산 동물,소계,190,4336,398,2828,181,8213,120,5815,195,6375,387,5098,443,4423,374,6648,465,6003,593,7112,547,5814,704,6491,550,4480,887,2462,680,7714,800,6109
"식품 및 산동물",중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,190,4336,398,2828,181,8213,120,5815,195,6375,387,5098,443,4423,374,6648,465,6003,593,7112,547,5814,704,6491,550,4480,887,2462,680,7714,800,6109
"식품 및 산동물",고기및 고기 조제품,소계,8900,605423,8376,368585,6904,439233,10235,429653,9857,475490,11569,374496,9919,450671,9348,423394,9904,455518,9320,422842,10814,397093,11836,376556,8438,572533,7400,397571,8948,516115,10422,475918
"식품 및 산동물",고기및 고기 조제품,쇠고기신선냉장 또는 냉동한 것,202,381680,151,193521,328,236296,207,237725,195,250466,312,201347,234,228761,141,240824,437,271127,134,242033,436,226021,398,186245,295,377914,139,210018,323,276113,365,256932
"식품 및 산동물",고기및 고기 조제품,기타 고기 및 식용 설육신선냉장 또는 냉동한 것,6200,194712,5228,152072,2834,184019,5226,167192,5245,200789,5573,149202,5999,197524,4128,162708,4336,160209,4395,158362,4502,145449,5533,162905,3926,174226,1946,164764,3091,212738,4195,194874
"식품 및 산동물",고기및 고기 조제품,고기 및 실용석육염장염수장건조 또는 훈제한 것,1,1376,16,1348,6,1055,7,1083,125,1662,125,1262,1,1614,17,1712,15,1665,5,1345,62,1828,13,2127,105,1096,2,1798,32,1646,49,1758
"식품 및 산동물",고기및 고기 조제품,달리 명시되지 않은 조제 또는 저장한 고기 및 설육,2497,27656,2980,21644,3736,17863,4796,23654,4292,22574,5558,22686,3685,22772,5062,18149,5116,22517,4787,21102,5814,23796,5892,25279,4112,19296,5312,20992,5502,25618,5812,22354
"식품 및 산동물",낙농품 및 새알,소계,7733,89129,9528,96825,10646,86193,14579,99847,11866,98866,12740,85540,11634,123041,10687,92577,9761,93554,9616,90495,9116,89160,7756,82886,9553,104990,10192,106176,13952,115489,15719,116648
"식품 및 산동물",낙농품 및 새알,우유.크림 및 우유생산품(버터 및 치이즈 제외),7523,29197,9214,29157,10101,29458,13331,31052,10778,35107,11721,29248,10713,48224,9710,32559,8617,32844,8772,31844,8291,32347,7216,28269,8785,34305,9670,29349,13103,31731,14563,38030
"식품 및 산동물",낙농품 및 새알,밀크에서 얻어진 버터 및 기타의 지와 유,0,6883,36,8235,1,7484,76,9972,80,7121,19,4021,13,11266,57,5943,28,6478,70,7852,34,6555,110,7114,7,10341,6,8772,9,12811,16,11400
"식품 및 산동물",낙농품 및 새알,치즈와 커드,152,50894,138,57861,387,47281,394,57402,440,55004,462,50427,571,61374,745,52545,971,52789,611,48988,706,48724,366,45719,702,58155,513,59237,831,62318,1116,58488
"식품 및 산동물",낙농품 및 새알,새알 및 난황신선건조,58,2155,139,1573,156,1970,778,1421,568,1634,537,1843,337,2177,174,1530,145,1443,162,1810,85,1534,63,1784,58,2190,3,8818,9,8630,24,8730
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,소계,156679,548094,132829,366869,174626,365874,162220,382021,130412,433553,173527,424154,167443,429819,151512,407139,150804,452826,180243,435802,188042,492677,207190,528875,136858,487525,140681,376400,206076,486545,204581,452502
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,물고기신선(산것 포함)냉장 또는 냉동한 것,88686,283771,70083,197777,79090,183995,72909,173948,44892,200492,75498,178472,76535,166917,75446,150743,67669,184298,91379,157522,96539,202334,106798,246541,67255,252766,70830,182320,109487,225872,101327,212397
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,건조.염장.염수장 또는 훈제한 어류,825,8040,1382,5404,2090,6400,2083,7443,1550,9453,2348,11400,1961,10977,1347,10332,1769,8870,2555,10704,2829,10260,2455,12124,1916,7598,1300,5929,2704,8806,2019,6675
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,갑각류연체동물 및 수생무척추동물,8513,127165,9213,72114,12082,80382,9171,102562,12875,116802,18576,121101,15769,132720,14832,127212,12681,143392,14438,131375,13239,152839,17214,138824,9497,106558,10366,84425,16825,123600,16091,123243
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,달리 명시되지 않은 어류갑각류연체동물기타 수생무척추동물,58655,129119,52151,91574,81363,95096,78056,98068,71095,106806,77105,113181,73179,119204,59886,118852,68684,116266,71871,136201,75436,127244,80722,131387,58190,120603,58185,103726,77061,128268,85145,110187
"식품 및 산동물",곡식 및 곡식가공품,소계,34174,420212,40869,369163,44866,343868,60005,360276,43290,393103,43157,415326,44340,416012,42892,306032,49689,380793,46375,387397,51078,311439,47618,362302,44268,485906,42700,311450,59904,443499,62742,454521
"식품 및 산동물",곡식 및 곡식가공품,밀(스펠트포함)과 메슬린.정미하지 않은 것,-,74234,-,91547,-,75230,4,70630,-,83165,-,92379,-,91137,-,68925,-,87896,-,88736,-,52388,-,94186,-,77818,-,63515,-,99335,-,91621
"식품 및 산동물",곡식 및 곡식가공품,쌀(벼포함),271,64000,2333,20561,1097,31173,12127,33352,5156,29818,195,53353,366,43064,2083,5337,2144,26352,327,19187,873,5778,404,43439,479,68391,232,7611,431,25512,11572,38489
"식품 및 산동물",곡식 및 곡식가공품,보리도정되지 않은 것,14,1473,12,3622,13,1088,50,1317,35,1207,24,1079,4,1382,10,155,28,1343,34,153,79,1187,11,1062,36,1418,10,3800,17,637,14,964
"식품 및 산동물",곡식 및 곡식가공품,옥수수,0,215410,1,204570,2,181498,1,197690,0,223145,1,202987,6,221120,2,177656,51,198301,5,213141,1,185124,0,150280,0,271223,0,178009,29,245084,3,252220
"식품 및 산동물",곡식 및 곡식가공품,곡물제분하지 않은 것(밀쌀보리 및 옥수수 제외),19,3158,28,1529,20,1938,74,2822,41,2415,20,1625,38,1193,63,1161,50,4288,73,1864,79,2374,63,4980,33,2584,46,1927,75,2449,43,2842
"식품 및 산동물",곡식 및 곡식가공품,밀의 거친가루 및 고운가루와 메슬린의 고운가루,1965,699,2215,798,1977,851,3149,622,1972,695,2032,857,2091,1078,1852,532,2146,617,1827,778,2313,695,2291,843,1939,969,1822,672,2278,941,2041,601
"식품 및 산동물",곡식 및 곡식가공품,기타 곡물 거친가루 및 고운가루,165,1223,200,695,160,844,139,916,220,754,195,1122,180,911,178,944,290,837,291,860,305,1077,272,1031,395,1027,222,996,238,785,193,1117
"식품 및 산동물",곡식 및 곡식가공품,곡식가공품 및 곡분,31740,60014,36079,45841,41597,51246,44461,52926,35867,51906,40689,61923,41655,56126,38705,51322,44981,61158,43817,62677,47427,62815,44578,66482,41385,62475,40369,54920,56837,68757,48876,66667
"식품 및 산동물",채소 및 과실,소계,68979,317791,68172,246627,67496,380624,56574,379889,48755,345155,58388,331599,60059,321084,57337,244943,71541,286668,74058,275325,99776,295604,99940,324844,86526,319869,65749,291915,74521,466613,66713,445023
"식품 및 산동물",채소 및 과실,채소신선냉장냉동 또는 단순히 저장한 것,15562,63861,16992,37700,15096,53645,15369,58191,15383,47095,21207,50416,22100,47473,15161,44638,11234,61412,13150,55410,22417,57304,17098,77314,16046,65103,13094,56243,15455,82078,14944,70414
"식품 및 산동물",채소 및 과실,달리 명시되지 않은 조제 및 저장한 채소구근 및 괴경,10593,64201,11862,46685,13944,57801,17290,56197,16071,58955,15470,59389,15248,59242,15357,52403,13115,57094,13344,61201,15311,62359,16405,58841,22094,60229,15140,53561,17502,65753,17459,62813
"식품 및 산동물",채소 및 과실,과실 및 견과(기름용 견과 제외)신선 또는 건조한 것,24479,115847,17128,102304,14304,200348,9283,196842,3812,167969,1998,141948,3970,133326,7622,84639,22490,98711,27736,88570,33665,109475,36728,118118,26176,119762,16984,115694,15789,237900,9261,237138
"식품 및 산동물",채소 및 과실,저장과실과 과실조제품(과실쥬스는 제외),14523,55778,15978,41080,20361,48696,12307,48170,10840,50201,16474,53603,14971,53191,15438,42699,20683,51592,17089,52762,25741,48386,23776,53980,17650,55276,15849,50903,19235,61770,19776,57833
"식품 및 산동물",채소 및 과실,과일쥬스(포도즙 포함)와 채소 쥬스,3823,18103,6212,18858,3791,20134,2326,20489,2648,20935,3239,26244,3770,27852,3759,20565,4020,17858,2740,17382,2642,18080,5934,16590,4561,19498,4682,15514,6540,19112,5275,16825
"식품 및 산동물",설탕설탕조제품 및 벌꿀,소계,25360,109764,27090,86159,27411,86769,24713,97928,23827,99992,27410,102764,27387,96480,27071,84583,30618,85266,27870,77104,31297,74327,31870,111642,24100,100781,19369,79537,24432,109807,25675,116656
"식품 및 산동물",설탕설탕조제품 및 벌꿀,설탕당밀과 벌꿀,15621,81701,13565,67224,16624,67782,16011,78519,15635,82916,18492,86902,18246,79208,18648,69102,20690,70421,19472,57856,21268,58199,20936,88887,15836,72667,12523,61488,14620,92380,17008,98759
"식품 및 산동물",설탕설탕조제품 및 벌꿀,설탕과자,9739,28063,13526,18936,10786,18987,8702,19408,8191,17076,8918,15863,9142,17273,8423,15482,9928,14846,8398,19248,10030,16128,10934,22755,8264,28113,6846,18049,9812,17427,8666,17897
"식품 및 산동물",커피차코코아향신료 및 동제품,소계,22616,116144,19946,95689,22996,104371,23690,100420,24947,104782,26595,109975,23678,120270,24477,114715,29787,122696,27580,132597,28173,124497,30764,126714,26411,128329,24286,108035,30801,126191,28161,136162
"식품 및 산동물",커피차코코아향신료 및 동제품,커피 및 커피대용품,15726,61398,13644,53938,16194,65306,16858,58082,18063,70746,18206,77390,16477,87025,16934,74175,20535,75944,18523,81484,18606,76171,19723,72513,18785,76670,16037,66091,21010,83188,18978,91069
"식품 및 산동물",커피차코코아향신료 및 동제품,코코아,33,6033,7,4228,73,5380,35,6379,1,4037,16,7671,13,6823,16,7067,32,4494,28,5555,102,5139,91,6263,100,4415,5,5762,2,6226,5,5727
"식품 및 산동물",커피차코코아향신료 및 동제품,달리 명시되지 않은 초코렛과 코코아를 함유한 기타 조제식료품,4622,39516,4319,29145,4045,23243,4303,23953,4676,19736,5115,14555,4025,16091,3906,23980,5357,29758,5615,36093,5799,32750,6096,37888,4566,37351,4508,27888,4919,25587,4368,24468
"식품 및 산동물",커피차코코아향신료 및 동제품,차와 마태,724,3815,842,3521,911,3983,1119,3396,907,3292,1869,3815,1373,3317,2051,4028,2320,4286,1730,3144,1561,4802,2733,4759,1762,4742,2001,3666,3108,4811,3123,4744
"식품 및 산동물",커피차코코아향신료 및 동제품,향신료,1510,5382,1132,4858,1773,6458,1375,8610,1300,6970,1388,6544,1790,7014,1570,5465,1543,8213,1684,6322,2105,5634,2120,5291,1199,5151,1735,4628,1761,6379,1686,10154
"식품 및 산동물",동물사료,소계,16950,206063,20205,188116,21866,223841,19915,230895,16176,212433,17280,232820,16261,228044,13829,184521,23513,236712,18387,213930,21993,202410,23877,244804,19143,229730,19007,221496,23308,246177,26351,243491
"식품 및 산동물",동물사료,동물사료,16950,206063,20205,188116,21866,223841,19915,230895,16176,212433,17280,232820,16261,228044,13829,184521,23513,236712,18387,213930,21993,202410,23877,244804,19143,229730,19007,221496,23308,246177,26351,243491
"식품 및 산동물",기타 식용제품 및 조제품,소계,122704,210421,140722,184443,168331,223303,173820,217195,151593,209811,164336,219169,181999,223124,151283,200158,174084,215944,160925,211807,170202,219330,190841,228406,174695,222624,158996,212664,216339,272649,198662,242617
