품목별(1),품목별(2),2018. 02,2018. 02,2018. 03,2018. 03,2018. 04,2018. 04,2018. 05,2018. 05,2018. 06,2018. 06,2018. 07,2018. 07,2018. 08,2018. 08,2018. 09,2018. 09,2018. 10,2018. 10,2018. 11,2018. 11,2018. 12,2018. 12,2019. 01,2019. 01,2019. 02,2019. 02,2019. 03,2019. 03,2019. 04,2019. 04,2019. 05,2019. 05,2019. 06,2019. 06,2019. 07,2019. 07,2019. 08,2019. 08,2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11,2019. 12,2019. 12
품목별(1),품목별(2),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
총액,소계,44523530,41722154,51309932,44897838,49850235,43693963,50687750,44458729,51079375,45000164,51810255,44917044,51180449,44360778,50650208,41032928,54860310,48480618,51479530,46808199,48206793,44024694,46168934,45153389,39481803,36651437,47003206,41992349,48781156,45047164,45703948,43619667,44008404,40104812,46078221,43762245,44020065,42457250,44629053,38741473,46648756,41396517,44040722,40729215,45668341,43687430
식품 및 산동물,소계,394531,1971637,482846,2311750,471013,2312142,496231,2407381,456419,2278648,459582,2269624,457078,2170306,417047,1971729,532135,2530414,552804,2307429,489066,2177916,508844,2799110,408334,1842707,478618,2252421,534677,2638364,485238,2456815,464499,2031023,504325,2389142,482869,2183674,459258,1959243,550129,2218099,549444,2205021,573092,2407229
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,124,3095,188,5564,411,5207,148,8055,340,7351,177,8068,253,4044,137,6509,382,6579,140,7625,536,8744,155,2571,231,3412,155,3617,546,8047,244,5804,166,5861,169,9373,155,4339,605,5051,3111,5252,204,5226,513,10367
식품 및 산동물,고기 및 고기조제품,3870,379591,5023,452331,5940,420524,6002,471640,6825,465968,4867,433728,5477,487439,4875,436221,6257,493928,8161,432891,6583,337904,7233,678724,7082,373373,7547,439266,6600,500916,7321,479269,7176,374453,6952,508494,7907,506288,7336,394713,6297,418928,8035,447484,7751,377408
식품 및 산동물,낙농품 및 새알,7042,77687,8668,94444,10093,81090,10631,84990,10405,77218,9663,89367,8040,84100,7511,62523,7357,78199,7391,70483,5893,66151,8060,88422,7382,82167,8532,77767,12303,93581,12725,84804,10676,79568,10458,109398,8926,91610,8114,74487,8346,81192,7969,78883,7117,75511
식품 및 산동물,물고기갑각류 연체동물 및 수생무척추동물,111647,400801,138010,459986,136704,505484,144362,490806,135768,437073,158523,428997,135197,422593,112763,439787,151972,554652,172315,544118,144046,544116,162484,577193,118315,360868,144208,428977,168139,491872,141400,445543,136982,370748,156261,467976,128901,435117,107012,391675,192460,437886,181006,465688,208192,557746
식품 및 산동물,곡식 및 곡식가공품,37327,349563,39267,315655,35732,326593,56247,360590,35781,365766,34609,406454,34679,305676,34181,273372,41363,431215,40291,334839,36592,349772,36731,444984,31034,267109,36985,355565,57094,420791,37634,430283,35396,334547,37718,353536,35012,328147,34214,309673,42906,356758,38579,318494,38654,438483
식품 및 산동물,채소 및 과실,57133,278866,66956,422972,55804,415175,51636,380443,43502,355699,50994,319395,53934,284174,56891,255133,78666,309277,81714,301210,76558,281766,77411,328488,59427,255516,61750,364307,59719,470892,53379,379537,55629,290416,64057,322099,69305,256571,68629,217708,76171,267766,86269,289184,97711,303434
식품 및 산동물,설탕설탕조제품 및 벌꿀,20004,75478,32231,101766,31363,88357,32316,100729,26951,104791,24514,92424,29143,88694,26876,88335,31123,85937,28606,88094,26286,76919,26608,115305,19341,61149,23177,90778,25977,98363,26601,93626,23906,93949,28527,97812,28226,72500,28234,95481,31502,101189,33251,89741,27094,81653
