행정구역,2019년12월_계_총인구수,2019년12월_계_연령구간인구수,2019년12월_계_0세,2019년12월_계_1세,2019년12월_계_2세,2019년12월_계_3세,2019년12월_계_4세,2019년12월_계_5세,2019년12월_계_6세,2019년12월_계_7세,2019년12월_계_8세,2019년12월_계_9세,2019년12월_계_10세,2019년12월_계_11세,2019년12월_계_12세,2019년12월_계_13세,2019년12월_계_14세,2019년12월_계_15세,2019년12월_계_16세,2019년12월_계_17세,2019년12월_계_18세,2019년12월_계_19세,2019년12월_계_20세,2019년12월_계_21세,2019년12월_계_22세,2019년12월_계_23세,2019년12월_계_24세,2019년12월_계_25세,2019년12월_계_26세,2019년12월_계_27세,2019년12월_계_28세,2019년12월_계_29세,2019년12월_계_30세,2019년12월_계_31세,2019년12월_계_32세,2019년12월_계_33세,2019년12월_계_34세,2019년12월_계_35세,2019년12월_계_36세,2019년12월_계_37세,2019년12월_계_38세,2019년12월_계_39세,2019년12월_계_40세,2019년12월_계_41세,2019년12월_계_42세,2019년12월_계_43세,2019년12월_계_44세,2019년12월_계_45세,2019년12월_계_46세,2019년12월_계_47세,2019년12월_계_48세,2019년12월_계_49세,2019년12월_계_50세,2019년12월_계_51세,2019년12월_계_52세,2019년12월_계_53세,2019년12월_계_54세,2019년12월_계_55세,2019년12월_계_56세,2019년12월_계_57세,2019년12월_계_58세,2019년12월_계_59세,2019년12월_계_60세,2019년12월_계_61세,2019년12월_계_62세,2019년12월_계_63세,2019년12월_계_64세,2019년12월_계_65세,2019년12월_계_66세,2019년12월_계_67세,2019년12월_계_68세,2019년12월_계_69세,2019년12월_계_70세,2019년12월_계_71세,2019년12월_계_72세,2019년12월_계_73세,2019년12월_계_74세,2019년12월_계_75세,2019년12월_계_76세,2019년12월_계_77세,2019년12월_계_78세,2019년12월_계_79세,2019년12월_계_80세,2019년12월_계_81세,2019년12월_계_82세,2019년12월_계_83세,2019년12월_계_84세,2019년12월_계_85세,2019년12월_계_86세,2019년12월_계_87세,2019년12월_계_88세,2019년12월_계_89세,2019년12월_계_90세,2019년12월_계_91세,2019년12월_계_92세,2019년12월_계_93세,2019년12월_계_94세,2019년12월_계_95세,2019년12월_계_96세,2019년12월_계_97세,2019년12월_계_98세,2019년12월_계_99세,2019년12월_계_100세 이상,
서울특별시  (1100000000),9729107,9729107,51145,54779,59128,65734,70013,69139,69031,76160,73259,74305,70378,74930,79942,73725,71582,79677,82287,82767,92621,111662,110727,117160,127846,137538,148693,158278,163318,170959,168286,153818,149445,148368,142549,141939,143557,141456,154667,163441,163787,160750,157941,133933,145000,142609,145629,157862,163865,167243,176438,170463,167963,164022,153253,140798,149743,148790,142141,153039,157352,162867,152404,141959,141460,128754,136069,114979,101482,110044,76918,85733,86235,84893,86715,69827,61120,61736,59938,70345,56062,47216,45815,39499,34909,30674,27939,22645,18612,16033,12629,10732,9536,7732,6115,4258,3207,2451,2420,1753,1241,977,6244,
서울특별시 종로구 (1111000000),151290,151290,609,590,702,765,874,877,862,1000,917,1015,927,1012,1167,1056,991,1134,1150,1182,1337,1792,1889,1940,2183,2394,2518,2535,2583,2602,2578,2350,2115,2153,2037,1910,1957,1775,2061,2086,2185,2097,2165,1798,1928,1996,2094,2295,2516,2578,2898,2809,2725,2631,2534,2334,2544,2573,2416,2608,2658,2691,2436,2254,2272,2083,2229,1857,1634,1795,1202,1366,1465,1389,1516,1197,1135,1150,1178,1370,1160,978,1010,844,702,684,596,506,416,351,321,243,207,178,140,120,80,66,59,66,48,36,253,
서울특별시 중구 (1114000000),126171,126171,698,659,724,813,799,766,765,771,714,680,636,661,697,582,578,691,694,731,835,1203,1251,1342,1542,1714,1833,2027,2146,2385,2182,2051,1998,2150,2028,1986,2040,1950,2117,2173,2103,2117,1972,1683,1718,1643,1662,1839,1818,1935,2157,2064,2138,2191,2077,1822,2001,2060,2013,2140,2246,2268,2104,1994,2020,1896,1904,1707,1420,1562,1076,1265,1249,1202,1274,991,955,958,928,1117,971,735,756,679,566,568,468,401,368,279,244,213,211,155,128,82,55,54,54,38,30,28,187,
서울특별시 용산구 (1117000000),228670,228670,1255,1241,1313,1477,1522,1448,1415,1537,1448,1476,1432,1442,1557,1451,1425,1589,1609,1669,1908,2309,2402,2477,2769,2801,3233,3497,3588,4007,4181,3882,3836,3795,3638,3659,3660,3589,3831,4071,3993,3961,3579,3130,3294,3228,3310,3649,3713,3989,4179,4088,4087,3897,3622,3293,3541,3469,3468,3645,3678,3759,3568,3245,3328,3057,3115,2665,2315,2436,1745,2011,2001,2008,2035,1635,1522,1564,1599,1876,1570,1312,1304,1230,1094,1018,860,734,597,518,454,367,347,276,218,149,133,110,113,80,62,35,353,
서울특별시 성동구 (1120000000),300889,300889,2060,2134,2208,2382,2397,2317,2209,2198,2091,1987,1812,2021,2071,1819,1853,2010,2031,2164,2450,3204,3416,3636,4034,4500,4761,5073,5108,5307,5254,4896,4763,4942,4772,4871,5071,4943,5342,5510,5493,5257,4974,4211,4423,4371,4365,4547,4934,4913,5264,5167,5159,5080,4738,4354,4856,4748,4524,4881,4951,5155,4635,4411,4266,3881,3918,3378,2894,3105,2197,2448,2533,2338,2544,2069,1796,1900,1843,2210,1715,1476,1385,1230,1141,1005,799,730,562,472,377,313,272,224,171,114,87,60,59,52,35,28,234,
서울특별시 광진구 (1121500000),351350,351350,1779,1831,1904,2087,2272,2235,2248,2498,2357,2446,2279,2422,2685,2539,2401,2637,2785,2728,3115,3982,4127,4622,5172,5877,6385,6956,7285,7550,7275,6502,6397,6194,5798,5681,5596,5270,5762,5963,5837,5677,5530,4605,5167,4902,5125,5426,5676,5821,6194,6044,5908,6029,5647,5203,5431,5258,5113,5487,5743,5819,5387,5038,4953,4359,4648,3831,3322,3754,2447,2712,2648,2816,2804,2238,1941,2012,1945,2209,1801,1529,1497,1335,1112,943,879,704,580,502,390,320,299,217,205,117,98,82,61,55,43,28,205,
서울특별시 동대문구 (1123000000),346194,346194,1815,1896,2107,2274,2375,2334,2251,2450,2303,2310,2171,2325,2424,2183,2108,2263,2466,2520,2816,3951,4201,4593,5098,5637,5956,6314,6040,6092,5785,5312,5028,4978,4703,4806,4847,4850,5338,5729,5728,5451,5410,4597,4929,4759,4962,5176,5418,5550,5865,5797,5722,5645,5295,5125,5330,5223,5002,5485,5765,6016,5655,5293,5289,4776,5112,4397,3816,4251,2914,3286,3236,3345,3416,2806,2565,2544,2605,2985,2406,2034,1930,1668,1461,1284,1119,1000,765,654,486,396,344,282,247,161,107,98,102,83,46,55,276,
서울특별시 중랑구 (1126000000),397015,397015,2090,2176,2282,2561,2659,2453,2559,2735,2641,2556,2451,2545,2606,2525,2404,2664,2882,2929,3409,4117,4135,4410,4971,5284,5789,6173,6329,6755,6395,6010,5782,5828,5655,5658,5645,5655,5958,6422,6431,6488,6150,5038,5461,5205,5316,5796,6220,6388,6981,6760,7039,7168,6852,6495,6906,7002,6595,7374,7699,7731,7325,6580,6534,6035,6283,5372,4593,4958,3516,3783,3824,3794,3873,3091,2670,2738,2642,3147,2524,2034,2004,1704,1454,1278,1148,959,753,590,504,411,355,326,227,158,123,98,82,66,45,35,186,
서울특별시 성북구 (1129000000),442650,442650,2172,2427,2688,3116,3260,3257,3251,3600,3648,3575,3340,3517,3820,3479,3412,3828,3883,3909,4410,5504,5771,5947,6519,6740,7121,7241,7029,7118,6695,6089,5797,5674,5613,5681,5830,5840,6533,6927,7186,6960,6986,6001,6299,6500,6760,7537,7805,8058,8460,8135,7947,7692,7084,6448,6691,6734,6274,6791,6959,7221,6714,6297,6339,5789,6023,5085,4498,5008,3409,3885,3954,3861,4006,3350,2956,3011,3057,3651,2899,2453,2450,2073,1804,1572,1484,1150,917,779,593,535,453,374,324,201,145,99,109,82,63,46,363,
서울특별시 강북구 (1130500000),313954,313954,1189,1344,1590,1748,1808,1791,1842,2068,2008,2032,2026,2039,2155,2060,2014,2214,2451,2447,2844,3410,3515,3827,4156,4359,4509,4740,4706,4934,4650,3954,3937,3851,3660,3727,3832,3815,4327,4619,4599,4668,4701,3926,4323,4301,4480,4993,5320,5407,5805,5673,5536,5585,5282,4831,5254,5090,5046,5414,5623,5945,5547,5136,5127,4695,4975,4317,3749,4147,3090,3394,3494,3579,3641,2869,2635,2726,2682,3262,2624,2075,1961,1700,1486,1329,1156,835,677,582,442,389,344,282,196,142,118,92,82,63,48,32,234,
