Name,Core_Speed,Direct_X,Integrated,L2_Cache,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Open_GL,Pixel_Rate,Process,ROPs,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate,RMax_Power
GeForce GTS 150,738,10,No,0,Nvidia,141,1024,64,256,1000,GDDR3,3.3,12,55,16,2560x1600,Yes,4,64,47,200
Radeon HD 2900 XT 512MB,742,10,No,0,AMD,215,512,106,512,828,GDDR3,3.1,12,80,16,2560x1600,Yes,4,16,12,300
Radeon HD 2900 Pro,600,10,No,0,AMD,200,512,51.2,256,800,GDDR3,3.1,10,80,16,2560x1600,Yes,4,16,10,200
Radeon HD 2600 XT,800,10,No,0,AMD,45,256,22.4,128,700,GDDR3,3.1,3,65,4,2560x1600,Yes,4,8,6,100
Radeon HD 2600 XT 256MB GDDR4,800,10,No,0,AMD,50,256,35.2,128,1100,GDDR4,3.3,3,65,4,2560x1600,Yes,4,8,6,100
Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,870,10.1,No,0,AMD,190,2048,134.4,256,1050,GDDR5,3.3,14,55,16,2560x1600,Yes,4.1,40,35,200
Radeon HD 2900 GT,601,10,No,0,AMD,150,256,51.2,256,800,GDDR3,3.1,7,80,12,2560x1600,Yes,4,12,7,200
FirePro D300,850,11.2,No,0,AMD,150,2048,160,256,1250,GDDR5,4.3,25,28,32,4096x2160,Yes,5,80,62,200
Tesla M2090,650,12,No,768,Nvidia,250,6144,177.6,384,925,GDDR5,4.5,31,40,48,2560x1600,Yes,5,56,36,300
Tesla K40c,706,12,No,1536,Nvidia,245,12288,288.4,384,1502,GDDR5,4.5,34,28,48,4096x2160,Yes,5,240,169,300
Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,1050,12,No,4608,AMD,150,3072,57.6,128,900,DDR3,4.4,18,28,16,2560x1600,Yes,5,28,62,200
Radeon 9800 XT,412,9,No,0,AMD,60,256,23.4,256,730,DDR,2,3,150,8,2048x1536,No,2,8,3,100
GeForce Titan XP,1582,12,No,0,Nvidia,250,12288,547.2,96,1425,GDDR5X,4.5,152,16,96,7680x4320,Yes,5,56,354,300
GeForce GTX Titan Zotac Edition,837,12,No,1536,Nvidia,250,6144,288.4,384,1502,GDDR5,4.5,42,28,48,4096x2160,Yes,5,224,196,300
GeForce GTX Titan Z Palit 12GB Edition,705,12,No,3072,Nvidia,375,12288,672,384,1750,GDDR5,4.5,84,28,416,4096x2160,Yes,5,240,420,400
GeForce GTX Titan Z EVGA Superclocked 12GB Edition,732,11,No,0,Nvidia,375,12288,672,384,1750,GDDR5,4.4,88,28,416,4096x2160,Yes,5,240,439,400
GeForce GTX Titan Z,705,12,No,3072,Nvidia,375,12288,672,384,1750,GDDR5,4.5,84,28,416,4096x2160,Yes,5,240,420,400
GeForce GTX Titan Z EVGA Hydro Copper 12GB Edition,758,11,No,0,Nvidia,375,12288,672,384,1750,GDDR5,4.4,90,28,416,4096x2160,Yes,5,240,452,400
GeForce GTX Titan X EVGA Hybrid 12GB Edition,1140,12.1,No,3072,Nvidia,250,12288,336.6,384,1753,GDDR5,4.5,120,28,96,4096x2160,Yes,5,192,240,300
GeForce GTX Titan X SLI,1000,12.1,No,6144,Nvidia,450,24576,673.2,384,1753,GDDR5,4.5,209,28,192,4096x2160,Yes,5,192,418,500
GeForce GTX Titan X,1000,12.1,No,3072,Nvidia,250,12288,336.6,384,1753,GDDR5,4.5,105,28,96,4096x2160,Yes,5,192,209,300
GeForce GTX Titan X EVGA Superclocked 12GB Edition,1127,12.1,No,3072,Nvidia,250,12288,336.6,384,1753,GDDR5,4.5,117,28,96,4096x2160,Yes,5,192,233,300
